Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,TotalPrice
500001,22960,JAM MAKING SET WITH JARS,48,2025-10-10 00:00:00,2.55,20001.0,United Kingdom,122.4
500001,20725,LUNCH BAG RED RETROSPOT,5,2025-10-10 00:00:00,1.65,20001.0,United Kingdom,8.25
500002,22423,REGENCY CAKESTAND 3 TIER,10,2025-01-29 00:00:00,12.75,20001.0,United Kingdom,127.5
500002,85099B,JUMBO BAG RED RETROSPOT,2,2025-01-29 00:00:00,1.79,20001.0,United Kingdom,3.58
500002,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2025-01-29 00:00:00,2.55,20001.0,United Kingdom,61.2
500003,22197,POPCORN HOLDER,2,2025-06-05 00:00:00,0.85,20001.0,United Kingdom,1.7
500003,85099B,JUMBO BAG RED RETROSPOT,2,2025-06-05 00:00:00,1.79,20001.0,United Kingdom,3.58
500003,22423,REGENCY CAKESTAND 3 TIER,24,2025-06-05 00:00:00,12.75,20001.0,United Kingdom,306.0
500003,20725,LUNCH BAG RED RETROSPOT,48,2025-06-05 00:00:00,1.65,20001.0,United Kingdom,79.2
500003,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2025-06-05 00:00:00,1.69,20001.0,United Kingdom,40.56
500004,47566,PARTY BUNTING,10,2024-10-13 00:00:00,4.95,20002.0,United Kingdom,49.5
500004,POST,POSTAGE,10,2024-10-13 00:00:00,18.0,20002.0,United Kingdom,180.0
500004,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2024-10-13 00:00:00,1.69,20002.0,United Kingdom,40.56
500004,POST,POSTAGE,5,2024-10-13 00:00:00,18.0,20002.0,United Kingdom,90.0
500004,84879,ASSORTED COLOUR BIRD ORNAMENT,48,2024-10-13 00:00:00,1.69,20002.0,United Kingdom,81.12
500005,47566,PARTY BUNTING,10,2024-09-15 00:00:00,4.95,20003.0,Spain,49.5
500005,22197,POPCORN HOLDER,24,2024-09-15 00:00:00,0.85,20003.0,Spain,20.4
500006,85099B,JUMBO BAG RED RETROSPOT,10,2025-12-22 00:00:00,1.79,20004.0,United Kingdom,17.9
500006,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2025-12-22 00:00:00,2.55,20004.0,United Kingdom,2.55
500006,22197,POPCORN HOLDER,1,2025-12-22 00:00:00,0.85,20004.0,United Kingdom,0.85
500007,20725,LUNCH BAG RED RETROSPOT,48,2025-12-25 00:00:00,1.65,20005.0,Germany,79.2
500007,20725,LUNCH BAG RED RETROSPOT,5,2025-12-25 00:00:00,1.65,20005.0,Germany,8.25
500008,84879,ASSORTED COLOUR BIRD ORNAMENT,5,2025-12-19 00:00:00,1.69,20006.0,United Kingdom,8.45
500008,47566,PARTY BUNTING,1,2025-12-19 00:00:00,4.95,20006.0,United Kingdom,4.95
500008,22423,REGENCY CAKESTAND 3 TIER,1,2025-12-19 00:00:00,12.75,20006.0,United Kingdom,12.75
500008,85123A,WHITE HANGING HEART T-LIGHT HOLDER,48,2025-12-19 00:00:00,2.55,20006.0,United Kingdom,122.4
500009,22960,JAM MAKING SET WITH JARS,1,2025-03-10 00:00:00,2.55,20007.0,France,2.55
500009,22197,POPCORN HOLDER,48,2025-03-10 00:00:00,0.85,20007.0,France,40.8
500009,22197,POPCORN HOLDER,10,2025-03-10 00:00:00,0.85,20007.0,France,8.5
500010,47566,PARTY BUNTING,2,2025-03-03 00:00:00,4.95,20007.0,France,9.9
500010,22197,POPCORN HOLDER,2,2025-03-03 00:00:00,0.85,20007.0,France,1.7
500011,20725,LUNCH BAG RED RETROSPOT,1,2024-11-10 00:00:00,1.65,20007.0,France,1.65
500011,47566,PARTY BUNTING,5,2024-11-10 00:00:00,4.95,20007.0,France,24.75
500011,POST,POSTAGE,1,2024-11-10 00:00:00,18.0,20007.0,France,18.0
500011,85099B,JUMBO BAG RED RETROSPOT,1,2024-11-10 00:00:00,1.79,20007.0,France,1.79
500012,POST,POSTAGE,2,2024-12-15 00:00:00,18.0,20007.0,France,36.0
500012,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2024-12-15 00:00:00,1.69,20007.0,France,40.56
500012,85099B,JUMBO BAG RED RETROSPOT,2,2024-12-15 00:00:00,1.79,20007.0,France,3.58
500013,20725,LUNCH BAG RED RETROSPOT,1,2024-09-13 00:00:00,1.65,20007.0,France,1.65
500013,POST,POSTAGE,1,2024-09-13 00:00:00,18.0,20007.0,France,18.0
500014,20725,LUNCH BAG RED RETROSPOT,2,2024-07-01 00:00:00,1.65,20007.0,France,3.3
500015,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2025-09-04 00:00:00,2.55,20008.0,United Kingdom,5.1
500016,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2025-11-26 00:00:00,2.55,20008.0,United Kingdom,61.2
500016,20725,LUNCH BAG RED RETROSPOT,48,2025-11-26 00:00:00,1.65,20008.0,United Kingdom,79.2
500016,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2025-11-26 00:00:00,1.69,20008.0,United Kingdom,40.56
500016,22960,JAM MAKING SET WITH JARS,24,2025-11-26 00:00:00,2.55,20008.0,United Kingdom,61.2
500017,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2025-04-29 00:00:00,1.69,20008.0,United Kingdom,1.69
500017,20725,LUNCH BAG RED RETROSPOT,48,2025-04-29 00:00:00,1.65,20008.0,United Kingdom,79.2
500018,47566,PARTY BUNTING,48,2025-09-20 00:00:00,4.95,20008.0,United Kingdom,237.6
500018,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,2025-09-20 00:00:00,2.55,20008.0,United Kingdom,2.55
500018,22197,POPCORN HOLDER,2,2025-09-20 00:00:00,0.85,20008.0,United Kingdom,1.7
500019,22423,REGENCY CAKESTAND 3 TIER,48,2025-08-14 00:00:00,12.75,20008.0,United Kingdom,612.0
500019,POST,POSTAGE,5,2025-08-14 00:00:00,18.0,20008.0,United Kingdom,90.0
500020,20725,LUNCH BAG RED RETROSPOT,48,2025-12-19 00:00:00,1.65,20009.0,United Kingdom,79.2
500020,85099B,JUMBO BAG RED RETROSPOT,1,2025-12-19 00:00:00,1.79,20009.0,United Kingdom,1.79
500020,22960,JAM MAKING SET WITH JARS,24,2025-12-19 00:00:00,2.55,20009.0,United Kingdom,61.2
500020,20725,LUNCH BAG RED RETROSPOT,48,2025-12-19 00:00:00,1.65,20009.0,United Kingdom,79.2
500021,22960,JAM MAKING SET WITH JARS,48,2025-10-16 00:00:00,2.55,20009.0,United Kingdom,122.4
500021,22423,REGENCY CAKESTAND 3 TIER,48,2025-10-16 00:00:00,12.75,20009.0,United Kingdom,612.0
500021,22423,REGENCY CAKESTAND 3 TIER,2,2025-10-16 00:00:00,12.75,20009.0,United Kingdom,25.5
500022,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2025-03-19 00:00:00,1.69,20009.0,United Kingdom,3.38
500022,47566,PARTY BUNTING,1,2025-03-19 00:00:00,4.95,20009.0,United Kingdom,4.95
500022,POST,POSTAGE,1,2025-03-19 00:00:00,18.0,20009.0,United Kingdom,18.0
500023,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2025-11-24 00:00:00,1.69,20009.0,United Kingdom,1.69
500023,20725,LUNCH BAG RED RETROSPOT,24,2025-11-24 00:00:00,1.65,20009.0,United Kingdom,39.6
500024,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2025-08-12 00:00:00,2.55,20009.0,United Kingdom,25.5
500025,POST,POSTAGE,24,2025-10-20 00:00:00,18.0,20009.0,United Kingdom,432.0
500025,22423,REGENCY CAKESTAND 3 TIER,24,2025-10-20 00:00:00,12.75,20009.0,United Kingdom,306.0
500026,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2025-04-27 00:00:00,1.69,20009.0,United Kingdom,1.69
500026,22960,JAM MAKING SET WITH JARS,5,2025-04-27 00:00:00,2.55,20009.0,United Kingdom,12.75
500026,POST,POSTAGE,10,2025-04-27 00:00:00,18.0,20009.0,United Kingdom,180.0
500027,84879,ASSORTED COLOUR BIRD ORNAMENT,5,2025-06-23 00:00:00,1.69,20009.0,United Kingdom,8.45
500028,84879,ASSORTED COLOUR BIRD ORNAMENT,5,2025-09-19 00:00:00,1.69,20009.0,United Kingdom,8.45
500028,20725,LUNCH BAG RED RETROSPOT,24,2025-09-19 00:00:00,1.65,20009.0,United Kingdom,39.6
500029,POST,POSTAGE,24,2025-09-29 00:00:00,18.0,20009.0,United Kingdom,432.0
500029,POST,POSTAGE,1,2025-09-29 00:00:00,18.0,20009.0,United Kingdom,18.0
500030,22423,REGENCY CAKESTAND 3 TIER,1,2025-05-08 00:00:00,12.75,20009.0,United Kingdom,12.75
500030,85099B,JUMBO BAG RED RETROSPOT,2,2025-05-08 00:00:00,1.79,20009.0,United Kingdom,3.58
500030,85099B,JUMBO BAG RED RETROSPOT,1,2025-05-08 00:00:00,1.79,20009.0,United Kingdom,1.79
500030,POST,POSTAGE,48,2025-05-08 00:00:00,18.0,20009.0,United Kingdom,864.0
500031,22197,POPCORN HOLDER,1,2025-12-21 00:00:00,0.85,20010.0,United Kingdom,0.85
500032,22197,POPCORN HOLDER,48,2025-04-20 00:00:00,0.85,20010.0,United Kingdom,40.8
500032,22960,JAM MAKING SET WITH JARS,48,2025-04-20 00:00:00,2.55,20010.0,United Kingdom,122.4
500032,22197,POPCORN HOLDER,2,2025-04-20 00:00:00,0.85,20010.0,United Kingdom,1.7
500032,22197,POPCORN HOLDER,5,2025-04-20 00:00:00,0.85,20010.0,United Kingdom,4.25
500033,22423,REGENCY CAKESTAND 3 TIER,2,2025-12-22 00:00:00,12.75,20010.0,United Kingdom,25.5
500033,POST,POSTAGE,5,2025-12-22 00:00:00,18.0,20010.0,United Kingdom,90.0
500033,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2025-12-22 00:00:00,1.69,20010.0,United Kingdom,1.69
500034,22960,JAM MAKING SET WITH JARS,1,2025-11-27 00:00:00,2.55,20010.0,United Kingdom,2.55
500034,85123A,WHITE HANGING HEART T-LIGHT HOLDER,48,2025-11-27 00:00:00,2.55,20010.0,United Kingdom,122.4
500035,85099B,JUMBO BAG RED RETROSPOT,1,2025-08-18 00:00:00,1.79,20010.0,United Kingdom,1.79
500035,47566,PARTY BUNTING,1,2025-08-18 00:00:00,4.95,20010.0,United Kingdom,4.95
500035,47566,PARTY BUNTING,2,2025-08-18 00:00:00,4.95,20010.0,United Kingdom,9.9
500035,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2025-08-18 00:00:00,1.69,20010.0,United Kingdom,1.69
500036,POST,POSTAGE,2,2025-07-26 00:00:00,18.0,20010.0,United Kingdom,36.0
500036,22197,POPCORN HOLDER,1,2025-07-26 00:00:00,0.85,20010.0,United Kingdom,0.85
500036,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2025-07-26 00:00:00,1.69,20010.0,United Kingdom,3.38
500036,85099B,JUMBO BAG RED RETROSPOT,24,2025-07-26 00:00:00,1.79,20010.0,United Kingdom,42.96
500037,22423,REGENCY CAKESTAND 3 TIER,5,2025-06-29 00:00:00,12.75,20010.0,United Kingdom,63.75
500037,22197,POPCORN HOLDER,5,2025-06-29 00:00:00,0.85,20010.0,United Kingdom,4.25
500038,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2025-05-04 00:00:00,2.55,20010.0,United Kingdom,61.2
500039,22197,POPCORN HOLDER,1,2025-03-24 00:00:00,0.85,20010.0,United Kingdom,0.85
500039,22960,JAM MAKING SET WITH JARS,5,2025-03-24 00:00:00,2.55,20010.0,United Kingdom,12.75
500039,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2025-03-24 00:00:00,1.69,20010.0,United Kingdom,40.56
500039,47566,PARTY BUNTING,48,2025-03-24 00:00:00,4.95,20010.0,United Kingdom,237.6
500040,47566,PARTY BUNTING,48,2025-05-24 00:00:00,4.95,20010.0,United Kingdom,237.6
500040,POST,POSTAGE,1,2025-05-24 00:00:00,18.0,20010.0,United Kingdom,18.0
500040,22197,POPCORN HOLDER,48,2025-05-24 00:00:00,0.85,20010.0,United Kingdom,40.8
500041,22197,POPCORN HOLDER,2,2025-05-04 00:00:00,0.85,20011.0,United Kingdom,1.7
500041,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2025-05-04 00:00:00,1.69,20011.0,United Kingdom,40.56
500041,20725,LUNCH BAG RED RETROSPOT,48,2025-05-04 00:00:00,1.65,20011.0,United Kingdom,79.2
500042,84879,ASSORTED COLOUR BIRD ORNAMENT,10,2024-10-07 00:00:00,1.69,20011.0,United Kingdom,16.9
500042,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2024-10-07 00:00:00,2.55,20011.0,United Kingdom,25.5
500042,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2024-10-07 00:00:00,2.55,20011.0,United Kingdom,25.5
500042,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2024-10-07 00:00:00,2.55,20011.0,United Kingdom,5.1
500043,47566,PARTY BUNTING,24,2025-01-07 00:00:00,4.95,20011.0,United Kingdom,118.8
500043,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2025-01-07 00:00:00,1.69,20011.0,United Kingdom,1.69
500043,POST,POSTAGE,2,2025-01-07 00:00:00,18.0,20011.0,United Kingdom,36.0
500043,22197,POPCORN HOLDER,2,2025-01-07 00:00:00,0.85,20011.0,United Kingdom,1.7
500043,20725,LUNCH BAG RED RETROSPOT,2,2025-01-07 00:00:00,1.65,20011.0,United Kingdom,3.3
500044,47566,PARTY BUNTING,1,2025-01-02 00:00:00,4.95,20011.0,United Kingdom,4.95
500044,20725,LUNCH BAG RED RETROSPOT,1,2025-01-02 00:00:00,1.65,20011.0,United Kingdom,1.65
500045,22197,POPCORN HOLDER,48,2024-09-27 00:00:00,0.85,20011.0,United Kingdom,40.8
500045,22960,JAM MAKING SET WITH JARS,5,2024-09-27 00:00:00,2.55,20011.0,United Kingdom,12.75
500045,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2024-09-27 00:00:00,2.55,20011.0,United Kingdom,61.2
500046,20725,LUNCH BAG RED RETROSPOT,5,2024-09-11 00:00:00,1.65,20011.0,United Kingdom,8.25
500046,85099B,JUMBO BAG RED RETROSPOT,2,2024-09-11 00:00:00,1.79,20011.0,United Kingdom,3.58
500047,22197,POPCORN HOLDER,48,2025-03-17 00:00:00,0.85,20011.0,United Kingdom,40.8
500048,20725,LUNCH BAG RED RETROSPOT,48,2024-08-13 00:00:00,1.65,20011.0,United Kingdom,79.2
500049,20725,LUNCH BAG RED RETROSPOT,24,2025-06-05 00:00:00,1.65,20012.0,United Kingdom,39.6
500049,84879,ASSORTED COLOUR BIRD ORNAMENT,5,2025-06-05 00:00:00,1.69,20012.0,United Kingdom,8.45
500049,47566,PARTY BUNTING,1,2025-06-05 00:00:00,4.95,20012.0,United Kingdom,4.95
500049,85099B,JUMBO BAG RED RETROSPOT,2,2025-06-05 00:00:00,1.79,20012.0,United Kingdom,3.58
500049,22197,POPCORN HOLDER,48,2025-06-05 00:00:00,0.85,20012.0,United Kingdom,40.8
500050,POST,POSTAGE,1,2024-12-07 00:00:00,18.0,20012.0,United Kingdom,18.0
500050,22960,JAM MAKING SET WITH JARS,1,2024-12-07 00:00:00,2.55,20012.0,United Kingdom,2.55
500050,85099B,JUMBO BAG RED RETROSPOT,1,2024-12-07 00:00:00,1.79,20012.0,United Kingdom,1.79
500050,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2024-12-07 00:00:00,2.55,20012.0,United Kingdom,5.1
500050,20725,LUNCH BAG RED RETROSPOT,5,2024-12-07 00:00:00,1.65,20012.0,United Kingdom,8.25
500051,22960,JAM MAKING SET WITH JARS,5,2024-11-11 00:00:00,2.55,20012.0,United Kingdom,12.75
500051,22197,POPCORN HOLDER,2,2024-11-11 00:00:00,0.85,20012.0,United Kingdom,1.7
500051,47566,PARTY BUNTING,24,2024-11-11 00:00:00,4.95,20012.0,United Kingdom,118.8
500052,47566,PARTY BUNTING,24,2024-10-15 00:00:00,4.95,20012.0,United Kingdom,118.8
500052,POST,POSTAGE,1,2024-10-15 00:00:00,18.0,20012.0,United Kingdom,18.0
500052,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2024-10-15 00:00:00,2.55,20012.0,United Kingdom,61.2
500053,POST,POSTAGE,2,2024-04-18 00:00:00,18.0,20012.0,United Kingdom,36.0
500053,20725,LUNCH BAG RED RETROSPOT,5,2024-04-18 00:00:00,1.65,20012.0,United Kingdom,8.25
500053,85123A,WHITE HANGING HEART T-LIGHT HOLDER,48,2024-04-18 00:00:00,2.55,20012.0,United Kingdom,122.4
500053,POST,POSTAGE,24,2024-04-18 00:00:00,18.0,20012.0,United Kingdom,432.0
500054,22197,POPCORN HOLDER,10,2024-06-14 00:00:00,0.85,20012.0,United Kingdom,8.5
500054,22197,POPCORN HOLDER,24,2024-06-14 00:00:00,0.85,20012.0,United Kingdom,20.4
500054,22197,POPCORN HOLDER,24,2024-06-14 00:00:00,0.85,20012.0,United Kingdom,20.4
500054,47566,PARTY BUNTING,10,2024-06-14 00:00:00,4.95,20012.0,United Kingdom,49.5
500054,22423,REGENCY CAKESTAND 3 TIER,5,2024-06-14 00:00:00,12.75,20012.0,United Kingdom,63.75
500055,47566,PARTY BUNTING,10,2024-12-08 00:00:00,4.95,20012.0,United Kingdom,49.5
500055,20725,LUNCH BAG RED RETROSPOT,10,2024-12-08 00:00:00,1.65,20012.0,United Kingdom,16.5
500055,22197,POPCORN HOLDER,48,2024-12-08 00:00:00,0.85,20012.0,United Kingdom,40.8
500056,22197,POPCORN HOLDER,48,2024-08-06 00:00:00,0.85,20012.0,United Kingdom,40.8
500056,22423,REGENCY CAKESTAND 3 TIER,1,2024-08-06 00:00:00,12.75,20012.0,United Kingdom,12.75
500057,47566,PARTY BUNTING,10,2024-12-03 00:00:00,4.95,20012.0,United Kingdom,49.5
500057,20725,LUNCH BAG RED RETROSPOT,24,2024-12-03 00:00:00,1.65,20012.0,United Kingdom,39.6
500057,22197,POPCORN HOLDER,2,2024-12-03 00:00:00,0.85,20012.0,United Kingdom,1.7
500057,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2024-12-03 00:00:00,2.55,20012.0,United Kingdom,25.5
500058,POST,POSTAGE,5,2025-01-15 00:00:00,18.0,20013.0,United Kingdom,90.0
500059,47566,PARTY BUNTING,48,2025-05-20 00:00:00,4.95,20014.0,United Kingdom,237.6
500059,22960,JAM MAKING SET WITH JARS,1,2025-05-20 00:00:00,2.55,20014.0,United Kingdom,2.55
500059,85123A,WHITE HANGING HEART T-LIGHT HOLDER,48,2025-05-20 00:00:00,2.55,20014.0,United Kingdom,122.4
500059,22960,JAM MAKING SET WITH JARS,5,2025-05-20 00:00:00,2.55,20014.0,United Kingdom,12.75
500059,22197,POPCORN HOLDER,24,2025-05-20 00:00:00,0.85,20014.0,United Kingdom,20.4
500060,47566,PARTY BUNTING,1,2024-08-28 00:00:00,4.95,20014.0,United Kingdom,4.95
500060,20725,LUNCH BAG RED RETROSPOT,2,2024-08-28 00:00:00,1.65,20014.0,United Kingdom,3.3
500061,85099B,JUMBO BAG RED RETROSPOT,2,2024-04-02 00:00:00,1.79,20014.0,United Kingdom,3.58
500061,POST,POSTAGE,2,2024-04-02 00:00:00,18.0,20014.0,United Kingdom,36.0
500061,22960,JAM MAKING SET WITH JARS,2,2024-04-02 00:00:00,2.55,20014.0,United Kingdom,5.1
500061,22423,REGENCY CAKESTAND 3 TIER,5,2024-04-02 00:00:00,12.75,20014.0,United Kingdom,63.75
500062,84879,ASSORTED COLOUR BIRD ORNAMENT,48,2025-02-11 00:00:00,1.69,20014.0,United Kingdom,81.12
500062,22197,POPCORN HOLDER,1,2025-02-11 00:00:00,0.85,20014.0,United Kingdom,0.85
500062,22960,JAM MAKING SET WITH JARS,10,2025-02-11 00:00:00,2.55,20014.0,United Kingdom,25.5
500063,POST,POSTAGE,2,2024-10-30 00:00:00,18.0,20014.0,United Kingdom,36.0
500064,47566,PARTY BUNTING,1,2024-12-13 00:00:00,4.95,20014.0,United Kingdom,4.95
500065,22197,POPCORN HOLDER,1,2025-11-12 00:00:00,0.85,20015.0,United Kingdom,0.85
500065,22960,JAM MAKING SET WITH JARS,1,2025-11-12 00:00:00,2.55,20015.0,United Kingdom,2.55
500065,22960,JAM MAKING SET WITH JARS,5,2025-11-12 00:00:00,2.55,20015.0,United Kingdom,12.75
500065,22197,POPCORN HOLDER,5,2025-11-12 00:00:00,0.85,20015.0,United Kingdom,4.25
500066,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2025-08-31 00:00:00,2.55,20015.0,United Kingdom,61.2
500066,22197,POPCORN HOLDER,5,2025-08-31 00:00:00,0.85,20015.0,United Kingdom,4.25
500066,22423,REGENCY CAKESTAND 3 TIER,1,2025-08-31 00:00:00,12.75,20015.0,United Kingdom,12.75
500066,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2025-08-31 00:00:00,1.69,20015.0,United Kingdom,3.38
500066,22423,REGENCY CAKESTAND 3 TIER,48,2025-08-31 00:00:00,12.75,20015.0,United Kingdom,612.0
500067,22197,POPCORN HOLDER,24,2025-06-16 00:00:00,0.85,20015.0,United Kingdom,20.4
500068,84879,ASSORTED COLOUR BIRD ORNAMENT,48,2025-12-24 00:00:00,1.69,20016.0,United Kingdom,81.12
500068,22423,REGENCY CAKESTAND 3 TIER,10,2025-12-24 00:00:00,12.75,20016.0,United Kingdom,127.5
500069,22423,REGENCY CAKESTAND 3 TIER,24,2025-10-05 00:00:00,12.75,20016.0,United Kingdom,306.0
500069,22197,POPCORN HOLDER,1,2025-10-05 00:00:00,0.85,20016.0,United Kingdom,0.85
500069,85099B,JUMBO BAG RED RETROSPOT,5,2025-10-05 00:00:00,1.79,20016.0,United Kingdom,8.95
500069,22197,POPCORN HOLDER,5,2025-10-05 00:00:00,0.85,20016.0,United Kingdom,4.25
500070,20725,LUNCH BAG RED RETROSPOT,5,2025-10-26 00:00:00,1.65,20016.0,United Kingdom,8.25
500071,22197,POPCORN HOLDER,2,2025-09-23 00:00:00,0.85,20016.0,United Kingdom,1.7
500071,84879,ASSORTED COLOUR BIRD ORNAMENT,48,2025-09-23 00:00:00,1.69,20016.0,United Kingdom,81.12
500071,22197,POPCORN HOLDER,48,2025-09-23 00:00:00,0.85,20016.0,United Kingdom,40.8
500071,47566,PARTY BUNTING,10,2025-09-23 00:00:00,4.95,20016.0,United Kingdom,49.5
500072,22960,JAM MAKING SET WITH JARS,2,2025-06-28 00:00:00,2.55,20016.0,United Kingdom,5.1
500072,22960,JAM MAKING SET WITH JARS,2,2025-06-28 00:00:00,2.55,20016.0,United Kingdom,5.1
500072,22960,JAM MAKING SET WITH JARS,1,2025-06-28 00:00:00,2.55,20016.0,United Kingdom,2.55
500072,22960,JAM MAKING SET WITH JARS,24,2025-06-28 00:00:00,2.55,20016.0,United Kingdom,61.2
500072,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2025-06-28 00:00:00,1.69,20016.0,United Kingdom,40.56
500073,22423,REGENCY CAKESTAND 3 TIER,2,2025-11-23 00:00:00,12.75,20016.0,United Kingdom,25.5
500073,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,2025-11-23 00:00:00,2.55,20016.0,United Kingdom,61.2
500073,47566,PARTY BUNTING,5,2025-11-23 00:00:00,4.95,20016.0,United Kingdom,24.75
500073,22423,REGENCY CAKESTAND 3 TIER,5,2025-11-23 00:00:00,12.75,20016.0,United Kingdom,63.75
500073,22960,JAM MAKING SET WITH JARS,10,2025-11-23 00:00:00,2.55,20016.0,United Kingdom,25.5
500074,POST,POSTAGE,48,2025-04-11 00:00:00,18.0,20016.0,United Kingdom,864.0
500074,85099B,JUMBO BAG RED RETROSPOT,2,2025-04-11 00:00:00,1.79,20016.0,United Kingdom,3.58
500074,20725,LUNCH BAG RED RETROSPOT,10,2025-04-11 00:00:00,1.65,20016.0,United Kingdom,16.5
500074,84879,ASSORTED COLOUR BIRD ORNAMENT,10,2025-04-11 00:00:00,1.69,20016.0,United Kingdom,16.9
500074,POST,POSTAGE,10,2025-04-11 00:00:00,18.0,20016.0,United Kingdom,180.0
500075,22197,POPCORN HOLDER,5,2025-10-04 00:00:00,0.85,20016.0,United Kingdom,4.25
500075,22960,JAM MAKING SET WITH JARS,1,2025-10-04 00:00:00,2.55,20016.0,United Kingdom,2.55
500076,85099B,JUMBO BAG RED RETROSPOT,2,2025-09-06 00:00:00,1.79,20016.0,United Kingdom,3.58
500077,POST,POSTAGE,48,2025-03-13 00:00:00,18.0,20016.0,United Kingdom,864.0
500078,22423,REGENCY CAKESTAND 3 TIER,24,2025-12-17 00:00:00,12.75,20016.0,United Kingdom,306.0
500078,POST,POSTAGE,2,2025-12-17 00:00:00,18.0,20016.0,United Kingdom,36.0
500079,85099B,JUMBO BAG RED RETROSPOT,48,2025-11-15 00:00:00,1.79,20016.0,United Kingdom,85.92
500079,22423,REGENCY CAKESTAND 3 TIER,1,2025-11-15 00:00:00,12.75,20016.0,United Kingdom,12.75
500079,20725,LUNCH BAG RED RETROSPOT,1,2025-11-15 00:00:00,1.65,20016.0,United Kingdom,1.65
500079,POST,POSTAGE,2,2025-11-15 00:00:00,18.0,20016.0,United Kingdom,36.0
